Start,End
5541.416,5543.226
5544.442,5544.994
5547.14,5547.385
5552.444,5552.916
5554.516,5554.874
5555.166,5555.257
5556.599,5557.869
5558.912,5559.182
5560.219,5560.972
5561.341,5561.595
5562.658,5562.885
5563.351,5564.143
5564.581,5565.031
5568.766,5568.864
5570.231,5570.583
5571.769,5572.456
5573.547,5574.144
5581.797,5582.322
5583.762,5585.971
5586.416,5587.954
5590.477,5590.736
5592.072,5592.607
5594.117,5594.402
5597.547,5598.094
5599.344,5599.681
5602.93,5604.226
5607.318,5608.887
5609.603,5609.979
5611.22,5611.439
5613.158,5613.401
5613.771,5614.051
5622.645,5623.059
5623.484,5623.933
5624.694,5625.043
5627.007,5628.904
5629.492,5629.997
5633.1,5634.259
5635.955,5637.208
5638.797,5639.153
5640.393,5640.8
5643.224,5643.364
5645.418,5645.738
5647.307,5647.517
5649.286,5649.618
5650.374,5650.848
5654.212,5654.473
5655.521,5656.442
5659.24,5660.007
5660.601,5660.785
5662.109,5662.41
5665.147,5665.482
5666.048,5666.291
5669.157,5669.359
5672.928,5673.35
5682.518,5683.295
5684.01,5684.128
5684.466,5685.247
5687.706,5688.015
5688.905,5689.337
5694.28,5695.53
5707.855,5708.496
5714.103,5714.275
5719.004,5719.263
5720.141,5720.797
5721.669,5721.899
5722.473,5722.957
5725.157,5725.459
5732.95,5733.168
5736.92,5737.133
5741.278,5741.463
5741.923,5742.245
5745.382,5746.146
5754.826,5755.935
5756.836,5758.643
5759.107,5759.446
5760.264,5760.539
5761.006,5761.199
5762.75,5763.269
5764.155,5764.359
5771.608,5771.936
5775.675,5776.255
5777.717,5778.407
5787.997,5788.349
5788.773,5789.159
5790.421,5790.959
5791.52,5792.15
5796.406,5796.88
5798.261,5799.368
5805.039,5805.347
5807.773,5808.064
5812.029,5812.594
5814.317,5814.893
5817.739,5817.94
5822.516,5822.854
5823.905,5824.268
5825.899,5826.246
5827.188,5827.519
5828.864,5829.232
5833.441,5834.352
5835.374,5836.366
5838.284,5838.723
5839.511,5839.723
5841.003,5841.511
5842.619,5843
5844.015,5844.903
5847.673,5848.46
5850.531,5850.766
5851.563,5851.949
5855.723,5856.19
5859.736,5860.081
5860.702,5861.011
5863.607,5863.867
5867.508,5867.983
5868.509,5868.918
5871.151,5871.788
5874.205,5874.566
5886.539,5887.773
5888.701,5888.949
5893.049,5894.41
5898.017,5899.74
5900.589,5900.81
5901.007,5901.802
5905.523,5907.19
5908.301,5908.677
5910.558,5910.999
5913.416,5914.85
5916.932,5917.479
5920.414,5923.23
5923.947,5926.129
5929.072,5929.34
5929.791,5930.097
5932.136,5934.946
5936.544,5939.029
5940.599,5942.452
5943.119,5943.333
5943.971,5945.137
5945.875,5948.868
5950.741,5951.011
5951.601,5952.023
5956.458,5957.406
5958.929,5961.733
5964.805,5966.694
5967.567,5967.825
5968.212,5970.909
5971.599,5973.211
5973.801,5974.535
5979.333,5979.737
5980.433,5981.169
5983.791,5984.098
5985.488,5986.084
5986.698,5987.05
5990.34,5990.918
5992.519,5992.827
5993.344,5993.887
5995.758,5996.158
5997.435,5998.27
5998.72,5999.196
6002.247,6002.903
6003.624,6003.97
6005.561,6005.904
6007.506,6007.885
6014.047,6015.058
6017.5,6018.097
6021.392,6021.758
6024.066,6024.294
6026.736,6026.961
6028.923,6029.75
6030.538,6033.177
6038.471,6039.206
6042.978,6044.474
6048.122,6049.653
6056.915,6057.15
6059.104,6059.432
6062.111,6062.421
6064.596,6065.21
6079.391,6079.701
6082.957,6083.262
6088.792,6089.086
6091.039,6091.526
6102.507,6102.895
6105.551,6106.456
6108.795,6109.186
6116.002,6116.731
6124.203,6124.541
6131.074,6131.363
6132.813,6133.177
6139.117,6139.281
6139.771,6140.599
6144.695,6145.099
6148.054,6148.617
6150.238,6150.783
6153.747,6154.396
6156.054,6156.328
6157.864,6158.282
6166.103,6166.509
6167.562,6167.837
6169.463,6169.727
6171.555,6171.846
6172.427,6172.833
6181.403,6181.612
6190.095,6190.431
6195.915,6196.451
6198.578,6200.504
6206.417,6210.652
6213.579,6214.22
6216.105,6216.795
6217.063,6217.319
